total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.00982831046,'(1.461834430695 + ((-3.226125240326) * ((((-0.309975951910) * x6) + (((((-1.643425703049) * x4) + ((-1.643425703049) * x5)) * (0.434294492006 ^ 2)) + (((-0.021540209651) ^ 2) * (0.014207884669 * x6)))) + ((-0.673139929771) ^ 2))))',1.0039392586685443e-10,5.058045093875307e-10,322052700,409,0,58,12,128,paper,4,0,3324115916
3600.008153978735,'((-0.000028859411) + ((-0.414829403162) * (((-2.410629749298) * x6) + (((-2.410629749298) * x5) - ((((-2.896210193634) * x4) / (((-0.895093262196) / (-0.003532329574)) ^ 2)) - ((-2.410674571991) * x4))))))',8.462923445507483e-11,2.850168157042532e-10,339481980,409,10,58,12,128,paper,6,0,4190266092
3600.0140994377434,'(0.000021289075 + ((-0.706494390965) * (((-1.415439009666) * x6) + (((-1.415439009666) * x4) - (1.415439724922 * x5)))))',1.7649749041777946e-10,1.1601388738569085e-09,469901322,409,24,58,12,256,paper,4,0,2765379632
3600.007081232965,'(0.000027314460 + ((-0.154619321227) * (((((1.414584040642 * x5) - (6.467493534088 * x4)) - (4.144726753235 * x5)) - (3.737356424332 * x5)) - (6.467494964600 * x6))))',2.967560698061976e-10,9.473798412429346e-10,350393637,409,17,58,12,128,paper,6,0,3606691181
3600.0094256848097,'(174.934310913086 + (12.400926589966 * (((((0.080639138818 * x5) + (0.080639138818 * x4)) + (-6.743133544922)) + (-7.363418102264)) + (0.080639138818 * x6))))',1.5215363540550668e-10,2.2480199646235377e-10,332858389,409,27,58,12,128,paper,6,0,2342600226
3600.00941067189,'((-0.000014384951) + (1.930992841721 * (((0.517868340015 * x6) - ((-0.517868340015) * x5)) - ((-0.517868340015) * x4))))',3.576406254074504e-11,4.2150374857108375e-10,487834041,409,0,58,12,256,paper,4,0,3324115916
3600.013242211193,'((-0.000002529735) + ((-0.667563915253) * (((-1.497983932495) * x6) - ((1.497983694077 * x4) - ((-1.497983932495) * x5)))))',3.258092558254034e-11,3.693175765207002e-10,488285562,409,10,58,12,256,paper,4,0,4190266092
3600.009912457317,'((-0.000022120097) + (0.557216882706 * ((1.794633865356 * x6) + ((1.794633865356 * x4) - ((-1.794632673264) * x5)))))',3.0451308911124756e-10,1.1521102960543317e-09,502715420,409,24,58,12,128,paper,4,0,2765379632
3600.011413656175,'((-0.000058476719) + (0.781725585461 * (((1.279220581055 * x4) + (1.279220581055 * x5)) - ((-1.279222607613) * x6))))',1.549473665293192e-09,2.504936480463016e-09,498602634,409,22,58,12,128,paper,4,0,3980425317
3600.0161509737372,'((-0.000029706416) + ((-0.559090912342) * ((((-1.788617849350) * x5) - (1.788618206978 * x4)) - (1.788618206978 * x6))))',8.759065216739537e-11,3.733318931775642e-10,498342147,409,13,58,12,128,paper,4,0,3081541439
3600.00778612867,'((-3.847234487534) + ((-2.012138605118) * ((((((-0.496981561184) * x6) - (0.496192902327 * x4)) - cos(sqrt(log((5.963739871979 * x4))))) - sqrt(log((26.429271697998 * x4)))) - (0.496985673904 * x5))))',5.122687279098892e-06,5.065475306764711e-06,276986468,409,13,58,12,128,paper,6,0,3081541439
3600.0175868161023,'(0.000008746162 + (0.265000402927 * (((3.141394615173 * x6) + (0.720774114132 * x5)) + (((3.052806615829 * x5) + (3.773574829102 * x4)) + (0.632184863091 * x6)))))',5.962883858360741e-10,7.707497418074638e-10,413032806,409,21,58,12,128,paper,4,0,784044718
