total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.1405733264983,'(0.000017543905 + (1.200158119202 * (((0.833223462105 * x5) + (0.833223521709 * x4)) + (0.833223521709 * x6))))',3.792393111067948e-11,4.897472427600745e-10,550183812,409,9,58,12,32768,paper,4,0,2261209995,1.2222060784195953e-11,417.7527209999997
3600.1324562840164,'((-0.000054710337) + ((-0.704820394516) * ((((-0.731034517288) * x6) + ((-1.418800115585) * x5)) + (((-0.687768161297) * x6) + ((-1.418800115585) * x4)))))',2.676936260369094e-09,2.9184117344982492e-09,513599826,409,8,58,12,32768,paper,4,0,404488628,2.2356401396906346e-09,515.7895209999992
3600.1125713847578,'((-0.000001447975) + (1.120214343071 * (((0.892686307430 * x6) - ((-0.892686188221) * x4)) - ((-0.892686188221) * x5))))',5.235375859618937e-10,8.149072527885436e-10,536592394,409,14,58,12,32768,paper,4,0,3376120482,2.7122184661970403e-10,2296.27848025
3600.1354810521007,'((-0.000044578166) + ((-1.294570326805) * (((-0.772457182407) * x5) - ((0.772457122803 * x4) + (0.772457122803 * x6)))))',3.2573080172705067e-10,6.342628089406331e-10,552240460,409,13,58,12,32768,paper,4,0,3081541439,3.2145943630002405e-10,12835.303849000002
3600.1521574370563,'(3.325145483017 + ((-3.221777439117) * ((((-0.310387611389) * x4) - (0.310500323772 * x5)) + (sqrt(((-2.451628684998) - ((-2.808479309082) - (sin((exp((0.211321473122 * x5)) ^ cos(1.569566369057))) ^ 2)))) + ((-0.310387611389) * x6)))))',1.1353251477113433e-08,1.0481393530881178e-08,308027957,409,10,58,12,32768,paper,4,0,4190266092,2.614918654323151e-09,6.940590250000015
3600.112251933664,'(0.000027499171 + (0.497256636620 * (((2.011034250259 * x5) - ((-2.011033535004) * x4)) - ((-2.011033535004) * x6))))',8.274776353736755e-11,3.9741782087432403e-10,546481522,409,16,58,12,32768,paper,4,0,550243861,9.642586678820298e-11,46.94990400000005
3600.13014889881,'(46.022140502930 + ((-0.887871801853) * (((cos((-0.055464610457)) / sin(0.019263798371)) - (1.126288771629 * x5)) - ((1.126288771629 * x6) + (1.126288771629 * x4)))))',1.0227835630264635e-10,2.850168157042532e-10,430070824,409,15,58,12,32768,paper,4,0,2204291346,4.430817809635128e-11,41.364192249999995
3600.106119338423,'((-0.191094383597) + (0.707106709480 * ((((1.414213538170 * x6) - (0.741024851799 ^ 2)) + (sin((exp((-1.799641013145)) - (-0.966496288776))) ^ 2)) + ((1.414213538170 * x5) + (1.414213538170 * x4)))))',4.4159004639878844e-10,4.2953238188481175e-10,400838713,409,17,58,12,32768,paper,4,0,3606691181,7.42185799315761e-10,2172.8183822499986
3600.0828000828624,'((-0.000053463336) + ((-4.972568511963) * ((((-0.201103568077) * x4) - (0.201103329659 * x5)) - (0.201103329659 * x6))))',1.572847510331245e-09,1.2364109736040516e-09,545144581,409,18,58,12,32768,paper,4,0,1934392872,1.0670267170300558e-08,12768.322008999996
3600.1045714095235,'((-1.122294783592) + (0.524580717087 * ((2.139401435852 + (1.906284213066 * x5)) - (((-1.906284451485) * x6) - (1.906284213066 * x4)))))',5.6719309478545615e-11,7.426494419426888e-10,490231405,409,19,58,12,32768,paper,4,0,2148995112,7.057220935135592e-11,15279.679321000001
