total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.005986291915,'(5.507245540619 + ((-1.814953446388) * (((((log(cos(((0.832332670689 * x1) ^ 2))) ^ 2) + (0.611369490623 * x5)) / cos((sin((1.082265138626 * x5)) / 2.428892135620))) * (((-0.370702058077) * x5) + sin(((-0.091656155884) * x3)))) / (((((-0.740087568760) * x3) - (3.162373781204 * x2)) + sqrt(exp((0.470278501511 * x4)))) / (((-0.195319250226) * x5) + sin((0.610600054264 * x5)))))))',6.318075339578763,6.318075656890869,186578935,9,5,384,7,128,paper,4,0,369133708,9.426186882017447,41.03678571428571
3600.0063134990637,'(4.328177928925 + ((-192.224731445312) * ((((0.138203278184 * x5) + exp(cos((0.548866569996 * x5)))) ^ ((sqrt(exp((cos(((-1.327203750610) * x1)) / (0.486552149057 * x5)))) ^ 2) ^ 2)) / ((((-6.794974327087) * x2) - (0.707106769085 * x3)) / (sin((2.305518627167 * x5)) + (0.273025631905 * x5))))))',6.153292364541424,6.153295993804932,348443293,9,7,384,7,128,paper,4,0,865305066,,50.27836734693877
3600.007067270577,'(81.316352844238 + ((-78.302536010742) * ((70.466842651367 * x4) ^ (cos(cos((((-0.072045482695) * x5) * ((((0.059566292912 * x1) ^ (cos((1.422552943230 * x1)) / (0.059566292912 * x1))) + sqrt((2.837140083313 * x0))) ^ cos((0.051907800138 * x5)))))) / ((-0.006203053519) * x3)))))',6.90382439682907,6.903823852539063,134721958,9,27,384,7,128,paper,4,0,2342600226,16.28157601430704,129.35147928994084
3600.00643279776,'(1.557326912880 + (644.354919433594 * (((cos(((-0.467120647430) * x5)) - ((exp(cos((0.092238329351 * x5))) ^ 2) / exp(((((-0.076462194324) * x2) * ((-0.076462194324) * x2)) / (0.172397136688 * x0))))) + (0.161139801145 * x5)) / ((0.067807167768 * x3) + (((1.638082623482 * x2) + cos((0.092238329351 * x3))) + ((((-2.712820768356) * x6) + ((-0.284313052893) * x4)) * sin((4.101317882538 * x5))))))))',6.454533934583552,6.454534530639648,199331065,9,4,384,7,128,paper,4,0,3687649985,3.8621709109609568,47.259591836734685
3600.0073436126117,'(9.726373672485 + ((-0.005210618488) * (((((((-11.964140892029) * x6) - (0.745325803757 * x0)) + ((-0.107647158206) * x3)) + (((-0.464235633612) * x5) ^ 2)) / (exp(((2.244566917419 * x2) / ((-0.107647158206) * x3))) / ((((-0.496001452208) * x6) / ((0.350397586823 * x2) ^ (sin(((-0.649126112461) * x5)) + (cos((1.025413274765 * x1)) ^ 2)))) + ((-0.637255907059) * x5)))) / (cos(((-2.328196525574) * x5)) + (0.352704644203 * x2)))))',6.273124838853228,6.27312707901001,156593677,9,22,384,7,128,paper,4,0,3980425317,11.047751366694058,37.42946745562131
3600.0071268305182,'(13.431978225708 + (0.001419400563 * (((0.040401622653 * x3) + ((-2.406871318817) * x5)) * ((log((((5.754988193512 * x2) - exp(((log((8.964544296265 * x6)) * cos((cos((((-0.466160774231) * x0) ^ 2)) ^ 2))) + log(exp(exp(cos((0.628604114056 * x5)))))))) ^ 2)) ^ 2) + ((-3.312943696976) * x5)))))',6.270796776898375,6.270948886871338,202964267,9,29,384,7,128,paper,4,0,1934709049,14.110259032039616,50.51928994082839
3600.0072161257267,'((-9.728694915771) + (437.915649414062 * (((0.510412812233 * x5) * sin((exp(((cos((0.510412812233 * x5)) / (0.344114303589 * x2)) / sin((log(cos(sin((1.417260527611 * x5)))) - (((-0.046720921993) * x4) + 1.297900676727))))) / (((9.804789543152 * x3) ^ 0.591425120831) + (0.825736880302 * x2))))) - ((sin(((-1.279486060143) * x6)) / ((-0.178127884865) * x2)) ^ 2))))',6.327734201941312,6.327732563018799,135702464,9,23,384,7,128,paper,4,0,3356806661,9.210777028032265,61.70863905325443
3600.00669779256,'(0.808805644512 + (19.986598968506 * exp(sin(log(((4.732285022736 * x3) * sin(((cos(sqrt((1.081181883812 * x5))) ^ 2) * sqrt(sqrt(((sqrt((0.292441785336 * (2.182861566544 * x4))) - (-2.455528259277)) ^ 2)))))))))))',7.465974571600253,7.46597146987915,384552954,9,24,384,7,128,paper,4,0,2765379632,3.024394642969396,48.59005917159763
3600.0067341551185,'((-23923.835937500000) + (23925.238281250000 * (cos((0.013706468046 * x5)) ^ ((((-0.008850844577) * x5) - exp(((sqrt(((0.068392962217 * x4) ^ cos((1.432569265366 * x6)))) ^ (0.127719134092 * x4)) * (((-0.010492603295) * x5) - cos(cos((0.670143902302 * x5))))))) / ((((sin(((-0.933249592781) * x0)) * (0.552275657654 * x6)) - (0.109538532794 * x5)) ^ 2) + ((0.206522464752 * x3) + (0.224343404174 * x0)))))))',6.359391104082011,6.35924768447876,101501084,9,2,384,7,128,paper,4,0,1884968544,6.573161974554866,65.46061224489797
3600.0062871985137,'((-8.260986328125) + ((-3.261700391769) * (((0.006682605948 * x3) / exp(exp(exp(cos((((-0.042349196970) * x5) - (((-0.042349196970) * x6) / cos((0.256784498692 * x5))))))))) - ((sin((1.576625704765 * x1)) + (0.192160755396 * x5)) + sin(sqrt(((log((0.401671886444 * x2)) + cos(((0.006682605948 * x3) / (0.046322360635 * x5)))) ^ 2)))))))',6.865320196162597,6.865320205688477,203203368,9,3,384,7,128,paper,4,0,1859786275,9.319500834274455,95.62836734693876
3600.004549924284,'((-825.652893066406) + (112.832633972168 * (((log((0.069980159402 * x3)) + ((0.180850416422 * x5) * 0.434378117323)) / log(log((0.153842210770 * x5)))) / log((log((0.069980159402 * x3)) + ((sin(((-1.400484800339) * x5)) / ((-1.440824151039) * x5)) * (0.793352186680 * x6)))))))',7.567632107214937,7.567607879638672,198206025,9,0,384,7,128,paper,6,0,3324115916,7.100563058148208,44.4359693877551
3600.0046914070845,'(1.583431839943 + (0.107521846890 * ((log((1650.359008789062 * x5)) / log((((11.941410064697 * x5) / (0.181890770793 * x3)) + log(sqrt((((0.043101627380 * x3) ^ (cos(sin((((-1.621113777161) * x6) + (-2.222054481506)))) ^ 1.293707847595)) * ((0.041654501110 * x2) + sin((1645.624633789062 * x5))))))))) ^ (sqrt((1.882012963295 * x5)) / sqrt(sqrt((0.181890770793 * x3)))))))',6.781953457241042,6.782171726226807,106569295,9,2,384,7,128,paper,6,0,1884968544,8.353267121953307,65.46061224489797
3600.004557788372,'((-8.997118949890) + (20.156139373779 * ((((((-2.245814561844) * x2) / sin(((-0.084100246429) * x1))) ^ 0.306487470865) / (0.179549470544 * x0)) ^ (((1.529068827629 * x5) - sqrt((2.208434104919 * x3))) / ((-0.713901638985) * x0)))))',7.875136833445999,7.875133991241455,127491488,9,9,384,7,128,paper,6,0,2261209995,7.065345057239313,57.220828402366855
3600.0045683272183,'(319.659149169922 + (314.178192138672 * cos((sin(((0.008814035915 * x5) ^ cos(sqrt(((((cos((0.215937554836 * x5)) ^ 2) ^ 2) ^ (((((-0.178917795420) * x6) + log((2.367513895035 * x6))) - (0.008814035915 * x5)) * (((1.231393933296 * x4) / (0.008814035915 * x0)) ^ cos(((-0.218168467283) * x4))))) + log((3.299370527267 * x2))))))) * sqrt(log((1.204130291939 * x3)))))))',6.251266705367716,6.251247406005859,136922512,9,4,384,7,128,paper,6,0,3687649985,5.2706961932766125,47.259591836734685
3600.004410505295,'(10.593512535095 + (0.000127372012 * (((cos((0.056000839919 * x4)) ^ ((-0.005165502429) * x5)) * ((((0.707106769085 * x3) * (sin(((-0.654501318932) * x5)) + (0.047229409218 * x2))) ^ (-0.214852407575)) * ((((cos((0.043542221189 * x2)) + (0.093751169741 * x5)) ^ 2) + ((-2.299049377441) * x5)) + ((-4.555651187897) * x6)))) * ((((0.093751169741 * x3) + ((-8.468194007874) * x5)) + (8.311598777771 * x4)) * (sin(((-8.468194007874) * x5)) - ((-0.218096405268) * x5))))))',6.563188679335809,6.563190460205078,86462851,9,12,384,7,128,paper,6,0,3269070126,3.5577061653060174,61.78745562130178
3600.00535710156,'((-8.394116401672) + (21.586284637451 * (exp(sqrt((0.114232137799 * x5))) / ((((((0.707106769085 * x1) ^ cos(((-0.484364271164) * x1))) ^ (4.598752021790 * x1)) - exp(sin(exp(cos(((-0.377733141184) * x5)))))) + sin(exp(sin((((0.114232137799 * x5) / (0.265851080418 * x6)) - (3.141021728516 * x5)))))) + (sqrt((0.039037387818 * x3)) + sqrt((0.093371175230 * x0)))))))',6.515060879449817,6.515060901641846,106754782,9,8,384,7,128,paper,6,0,404488628,6.869585265158639,102.83325443786981
