total_time_seconds,expression,mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,old_mse,mse_val,var_y_val
600.3114396871533,'sqrt(x0 + sqrt(x0 + sqrt(x1))) - cos(sqrt(x5) - sqrt(x0 + sqrt(x1) - 1.48) + cos(sqrt(x5) - sqrt(x0 + x4**(1/4))))',0.5188831528916956,120320,california_housing,18,19952,8,256,paper,4,0,1934392872,0.5188794732093811,0.4930681487105371,1.28285214548536
600.3880095339846,'(0.426**(x2**3/(x1 + sqrt((x4 - 2.0)/x2))) + x0)/sqrt(x5*sqrt(x2/sqrt((x1 + x3)/x5)))',0.5232703392443064,132096,california_housing,19,19952,8,256,paper,4,0,2148995112,0.5232692956924438,0.5071092774304974,1.3756298122312565
600.1493485819083,'sqrt(x0*sqrt(x0*sqrt(x1*cos(cos(x5))/x2**(1/8))*cos(cos(sqrt(x5)/cos(sin(sqrt(x0)))))/x5**2))',0.5322659398493021,95744,california_housing,20,19952,8,256,paper,4,0,1592565386,0.5322659015655518,0.431159063677147,1.1927077939213915
601.861187299015,'0.268*x0 + 0.429*x0/x5**2 + 3*x0/(x2*x5) + (x3/x2)**(0.268*x0*x2)',0.5555209485727491,80128,california_housing,21,19952,8,256,paper,4,0,784044718,0.5555861592292786,0.6215796849007468,1.258513985297735
600.1299424739555,'x0/x5 + cos(sin(x0/x5 + sin(sin(sin(sin(cos(x2) + cos(x0*(x0 + x0/x5)/x2) + cos(cos(x6))))))))',0.5541365952494216,79872,california_housing,22,19952,8,256,paper,4,0,3980425317,0.5541366338729858,0.51813297587784,1.3341660878334225
600.0981116869953,'x0/x5 + cos(sqrt(x2)*log(x5 + cos(x0**2/(x1*(x2/x1)**(1/4)) - x0 + sqrt(x5)))/x5)',0.5434157884026021,108032,california_housing,23,19952,8,256,paper,4,0,3356806661,0.5434157848358154,0.4968153241818804,1.1721163840010882
600.8549734130502,'(x0 + log(x0 + x5 + 2.68*cos(x2 + log(x2 + cos(x0 + 0.431*x2 + 0.431*x5 + 2.32)) + 2.32)))/x5',0.5748738431733162,92160,california_housing,24,19952,8,256,paper,4,0,2765379632,0.5748615264892578,,1.3233866582981442
600.4641671469435,'x0/x5 + (x0 + x1/x6 + cos(-x2 + x3 + x3**(x1/(x2*x5))))/(x0**2/x1 + x2)',0.5106622884699151,140544,california_housing,25,19952,8,256,paper,4,0,1728356533,0.5106623768806458,0.5688506180724721,1.3870988943947191
600.4803745609242,'-0.313*sqrt(x2) + log(((x0 + 1.26)/sqrt(x0))**(sqrt(x0 + sqrt(x1)*(sqrt(x0) + x0)/x5**2 + 1.26))) - 0.12',0.5227959894226502,115968,california_housing,26,19952,8,256,paper,4,0,3533734220,0.522719144821167,0.5337576910448387,1.2970733904101148
603.9457316698972,'0.534*x0 + 0.534*cos((log(1.6*x0 + 0.534*x2 + 0.534*cos(x2) + 0.534*cos(x5 + 1.19)) + cos(x6 + x7))*log(x5))',0.5200477965265974,100352,california_housing,27,19952,8,256,paper,4,0,2342600226,0.520046055316925,0.5387689724619501,1.3285396011021395
