total_time_seconds,expression,mse,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
60.00170697097201,'x2 + x3 + x7**(1/4) + sin(x5) + 5*cos(x1**2) + 2*cos(x11) + cos(0.0270742*x5) + 2*cos(0.155807*x5) + 6*cos(x5/x4) - 7.2832 + 9*x5/x4',245.71087646484375,409,22,58,12,128,paper,6,0,3980425317
60.000418226001784,'x2 + x3 + log(2114.4**sin(x2 + log(x3**2)) + (x1**(sqrt(x2)) + 2*x9**2)**sin(2*x2 + sin(x2 + x9**sin(x2 + x3) + (3*x2)**sin(2*x2 + x9**sin(2*x2)) + log(x9 + (x8**sin(x2 - 172.629))**sin(x2 - 172.629)) + sin(sin(x2 + x3)) + 0.797126)) + log(599.641**sin(x10 + x2 + x3 - 145.457) + x0 + (x1**24.4876)**sin(x2 + 2*x3)) + sin(x3 + log(x3**2) + sin(x10 + 2*x2)))',47.230464935302734,409,23,58,12,128,paper,6,0,3356806661
60.00221105199307,'sqrt(x10 + x9 - sqrt(Abs(1223.99*x10 - 1223.99*x5**2 - 611.996*x8 + 611.996*x9 + 749079.048841536) - 375149.0) - sqrt(5.1382**x0*(-x2**2 - x5**2 - x8 + 6*x9 - 27760.1326293945) - 2*x10 + Abs(1223.99*x10 - 1223.99*x5**2 - 611.996*x8 + 611.996*x9 + 749079.048841536) - 375759.144165039) - sqrt(Abs(-611.996*x10 + 611.996*x5**2 + 611.996*x6**2 + 611.996*x8 - 1835.99*x9 + 546572.0)))',1288.635009765625,409,24,58,12,128,paper,6,0,2765379632
60.00217154796701,'sqrt(x10 + sqrt(x11*cos(0.977415*x11) + (x5 + 0.803687)*sqrt(0.803687*x10 - 0.99998*x11 + x5*sqrt(0.803687*x10*x6 + 137641.0*x5**2*exp(2*cos(137641.0*exp(cos(cos(0.00269541*x10)))))*exp(2*cos(371.001*exp(cos(cos(x8))))) + (0.00703034*x10*x6**2 + x10)*cos(x5) + 1.49707e+6) - 1231.36) - 615.678)*Abs(x4) - 1847.03)',1520.3189697265625,409,25,58,12,128,paper,6,0,1728356533
60.00244588998612,'sqrt(x10 + x4*Abs(x5) + x5**2 + x6**2 + 0.182818*x9 - sqrt(-286571.0*x1**2 + 2425.93*x10 - 0.00290235*x11**2 - 614.987*x11 - 580.971*x9 - 1.20623e+7) - sqrt(8609.82*x10 - 614.987*x11 - 1844.96*x8 - 0.0035911*x9**2 - 1844.96*x9 - 1510216.12160008) + 512.163)',570.84326171875,409,26,58,12,128,paper,6,0,3533734220
60.000490093021654,'x2 + x3 + log(x7**x1/log(exp(cos(x5 + exp(cos(cos(exp(cos(x5))))) + cos(exp(cos((-223.335*x10 - 558.4928855896)/log(exp(cos(x5 + exp(exp(cos(log(cos(sin(484.756*x1)**2))))) + 0.760685)) + cos(cos(exp(exp(cos(x5/log(x5*exp(x5))))))))))))) + cos(cos(exp(cos(exp(cos(exp(cos(exp(cos(exp(cos(x5))))))))))))) + cos(cos(cos(exp(exp(cos(x5))))/log(exp(-x7 + exp(0.599806*exp(cos(exp(cos(exp(cos(x5)))))) + cos(x7**x1))) + 0.988775))) + 0.418635)',417.83624267578125,409,27,58,12,128,paper,6,0,2342600226
60.00233530404512,'x2 + x3 + sqrt(x5) + 2*x7**(1/4) + 5*cos(x1**2) + 2*cos(x1 + cos(x3 + 314.858)) + cos(x1 + cos(x3 + sqrt(x7))) + cos(x1 + cos(2*x3 + sqrt(x7))) + cos(x3 + cos(x1)) + cos(x2 + sqrt(x3) + x3 + sqrt(x7) + cos(cos(x0))) + cos(x2 + sqrt(x3) + x3 + cos(x9**2) + cos(x2 + sqrt(x3) + x3)) + 2*cos(log(x1*x5**2))',365.9073181152344,409,28,58,12,128,paper,6,0,1904449481
60.001724845031276,'2*x1 + x2 + 17*sqrt(x3) + 6*sqrt(x5) + sin(x0) + sin(sqrt(x5)) + sin(exp(x0)) - 124.155',380.9101257324219,409,29,58,12,128,paper,6,0,1934709049
60.00116449210327,'sqrt((x2 + x3)**2 + (x4 - 0.00026113*x7**2*exp(2*sin(sin(x8))))**2 + sqrt(x5**2 + x7**(2*exp(sin(x5)))) + 577.775)',100.66123962402344,409,0,58,12,256,paper,4,0,3324115916
60.00228640506975,'sqrt(x2*(x2 + 248.517) + x3**2*sin(x4)**2*cos(x7 + cos(x0)) + x5**2*cos(x2) + x5**2 + 2955.06)',353.2848815917969,409,2,58,12,256,paper,4,0,1884968544
60.00089167710394,'x2 - log(2.49942412258573e+136/x3**64) - log(1.58095671116755e+68/x5**32) - sin(sqrt(x2)) - cos(x10) + 147.24',466.4056396484375,409,1,58,12,256,paper,4,0,2811363264
60.00256174406968,'x2 + x3/log(sqrt(x2)) + x5/log(sqrt(x2)) + sqrt(x6) + exp(exp(cos(x1**2))) + 144.008697509766 - 144.008697509766/log(x3**(1/4))',263.5294189453125,409,3,58,12,256,paper,4,0,1859786275
60.000482496107,'sqrt(x10) + 0.00205700195480471*x4*(x5 + sqrt(x9)) + log(sqrt(x10))**2*cos(sqrt(x10))*cos(452.862*x10)*cos(x10**(3/2))',1554.1697998046875,409,4,58,12,256,paper,4,0,3687649985
60.001838420983404,'x1 + 1.0051*x2 + x3 + 0.00509638*exp(x1) - sin(sqrt(x3)) + cos(x8 + sin(x7)) + cos(exp(x1))/cos(x9)',85.37452697753906,409,5,58,12,256,paper,4,0,369133708
60.00064000603743,'x2 + x3 + 2*cos(x1) + 3*cos(x1**2) + 2*x5**2/x4**2',239.40597534179688,409,6,58,12,256,paper,4,0,2995172877
60.001871164073236,'x2 + x3 + 3*cos(x1**2) + 2*x5**2/x4**2 + x5**4/x3**4',207.6207275390625,409,7,58,12,256,paper,4,0,865305066
60.00028968392871,'0.456771*(sqrt(x4)*(x10 + 2*x5**2 + x6*sqrt(x9*log(x6)) + x6 + 1220.4)**2)**(1/4)',495.1684265136719,409,8,58,12,256,paper,4,0,404488628
60.00103447702713,'x4 + x5 + x6 - sin(sin(9.57672*x9))/(-9.57672*x5*x9/(190.835*cos(213.5029296875/x1) - 9.57672119140625) + 9.57672*x9)',8.028643028179516e-11,409,9,58,12,256,paper,4,0,2261209995
60.00010142009705,'sqrt(x2**2 + x3**2 + 320.072*x5 + x6**2 - 5402.28)',208.81655883789062,409,10,58,12,256,paper,4,0,4190266092
60.00235222897027,'x4 + x5 + x6 + 1/(3*(-x11*x4*sin(x5 + x6) + 2*x4 + 2*x5))',8.028643028179516e-11,409,11,58,12,256,paper,4,0,3160032368
60.00084602506831,'x2 + x3 + 4*x5**2*(6*x5 + exp(x1))**2/x10**2',96.85206604003906,409,12,58,12,256,paper,4,0,3269070126
60.002677178010345,'x2 + x3 - sin(sqrt(x2)) - 2*sin(sqrt(x8)) - cos(sqrt(x5)) - 2*cos(x6) + 8.60694',505.8995666503906,409,13,58,12,256,paper,4,0,3081541439
60.000466117984615,'x4 + x5 + x6 + 0.000659364*x5/(x4**2*x6*sin(x2 + 10.4999))',6.824346643341528e-11,409,14,58,12,256,paper,4,0,3376120482
60.001864172983915,'(x1 + x2 + x3)*exp((sqrt(x2) + x5)**4*exp(-4*x3**2/x6**2)/(x2 + log(x7) + cos(39.1183**sin(sqrt(x4))))**4)',43.91695022583008,409,15,58,12,256,paper,4,0,2204291346
60.002314059995115,'2*x1 + x2 + x3 + exp(exp(sqrt(x5/log(x2**2)**2))) + log(x1**4/x10**2) + sin(x0) + cos(x1)',79.30086517333984,409,16,58,12,256,paper,4,0,550243861
60.00164214998949,'x2 + x3 + exp(x5**2/x2**2) + exp(x5**2/x3**2) - sin(sqrt(x2)) - 2*cos(x0) - 2*cos(x6)',74.36016845703125,409,17,58,12,256,paper,4,0,3606691181
60.00224891502876,'2*x1 + x2 + x3 + sqrt(x5) + 2.49589e-10*x5**4/cos(x1)**4 + cos(x1) - 11.4084 + x5**4/x2**4',48.88331604003906,409,18,58,12,256,paper,4,0,1934392872
60.00358572998084,'x1**2*x5**2*sin(cos(x11))**2/x2**2 + x1**2*x5**2/x2**2 + x1*cos(log(x4)) + x2 + x3 + sin(x1)',24.485013961791992,409,19,58,12,256,paper,4,0,2148995112
60.00110583100468,'x2 + x3 + (x4 + 6.42731e-5*x5**4/log(0.000138297*x7)**2 + x5**2/log(x4)**2 + exp(x1) - 77.8353)/x2',68.09906005859375,409,20,58,12,256,paper,4,0,1592565386
60.0012237719493,'x1 + x2 + x3 + ((x1**2 + x7 + exp(2*sin(x3)) + 2*sin(x6) - 0.9998)**(cos(x0)**2))**cos(x11)',46.41641616821289,409,21,58,12,256,paper,4,0,784044718
60.00235327205155,'x4 + x5 + x6 + x7/(x4*(x8 + 542.86 + (x4 + x5 - 199.061*(x4 - 199.061)**2)/x0))',6.824346643341528e-11,409,22,58,12,256,paper,4,0,3980425317
60.000367255997844,'(x3*sqrt(x2**x1) + 3*x5**4 + (x2 + x3)**4 + 5.84693e+7)**(1/4)',66.74124145507812,409,23,58,12,256,paper,4,0,3356806661
60.002586926100776,'(log(x6) + sin(log(x2)))**2*log(x4**2 + 2*x5**2 - 0.0383484*x8)/cos(cos(315.851013183594/(x4 - cos(x5))**2))',319.89532470703125,409,24,58,12,256,paper,4,0,2765379632
60.002059743972495,'sqrt(x4**2/cos(sin(x2)) + (x2 + x3)*(x5 + x6) + (sqrt(x7)/cos(x1) + 97.2662)*(x4 + x5 - 611.959350585938/x4))',73.90373992919922,409,25,58,12,256,paper,4,0,1728356533
60.000799956033006,'x2 - exp(exp(cos(exp(-80.706*cos(x9))))) - exp(exp(cos(sin(x2)))) - cos(x10) + 35.4977*cos(sqrt(x3)) - cos(sqrt(x9)) + 158.4',638.5481567382812,409,26,58,12,256,paper,4,0,3533734220
